method,plurality,borda,minimax,copeland,rankedPairs,irv,approvalRanking,scoreRanking,approvalUtil,scoreUtil,majorityJudgment,star
plurality,1.000,0.188,0.362,0.362,0.362,0.662,0.075,0.188,0.113,0.113,0.425,0.362
borda,0.188,1.000,0.825,0.825,0.825,0.487,0.887,1.000,0.875,0.925,0.750,0.825
minimax,0.362,0.825,1.000,1.000,1.000,0.662,0.713,0.825,0.750,0.750,0.925,1.000
copeland,0.362,0.825,1.000,1.000,1.000,0.662,0.713,0.825,0.750,0.750,0.925,1.000
rankedPairs,0.362,0.825,1.000,1.000,1.000,0.662,0.713,0.825,0.750,0.750,0.925,1.000
irv,0.662,0.487,0.662,0.662,0.662,1.000,0.375,0.487,0.412,0.412,0.688,0.662
approvalRanking,0.075,0.887,0.713,0.713,0.713,0.375,1.000,0.887,0.963,0.963,0.637,0.713
scoreRanking,0.188,1.000,0.825,0.825,0.825,0.487,0.887,1.000,0.875,0.925,0.750,0.825
approvalUtil,0.113,0.875,0.750,0.750,0.750,0.412,0.963,0.875,1.000,0.950,0.675,0.750
scoreUtil,0.113,0.925,0.750,0.750,0.750,0.412,0.963,0.925,0.950,1.000,0.675,0.750
majorityJudgment,0.425,0.750,0.925,0.925,0.925,0.688,0.637,0.750,0.675,0.675,1.000,0.925
star,0.362,0.825,1.000,1.000,1.000,0.662,0.713,0.825,0.750,0.750,0.925,1.000
