group,method,condorcet_eff,mean_regret,iia_rate,majority_top
ranking,plurality,0.7382198952879581,1.975182679433466,0,0.705
ranking,borda,0.9214659685863874,0.7416242154881093,0.13,0.88
ranking,minimax,1,0.9676689155946421,0,0.955
ranking,copeland,1,1.0808021574527065,0,0.955
ranking,rankedPairs,1,0.962535332319883,0,0.955
ranking,irv,0.9424083769633508,1.3384761939648135,0,0.9
ranking,approvalRanking,0.8010471204188482,0.2977827780987039,0.245,0.765
ranking,scoreRanking,0.9214659685863874,0.7416242154881093,0.13,0.88
escape,approvalUtil,0.743455497382199,0.0563966361585352,,0.71
escape,scoreUtil,0.7591623036649214,0,,0.725
escape,majorityJudgment,0.5968586387434555,1.1626440477949842,,0.57
escape,star,0.7643979057591623,0.22869260463544655,,0.73
meta,condorcet_existence,0.955,model=peakedNoisy,n=200,v=25
