group,method,condorcet_eff,mean_regret,iia_rate,majority_top
ranking,plurality,0.7912087912087912,0.2485525053758992,0,0.72
ranking,borda,0.9120879120879121,0.08207038328418875,0.11,0.83
ranking,minimax,1,0.14033545000142505,0,0.91
ranking,copeland,1,0.19769022716115078,0,0.91
ranking,rankedPairs,1,0.14538111494925893,0,0.91
ranking,irv,0.978021978021978,0.2098512899211542,0,0.89
ranking,approvalRanking,0.6483516483516484,0.6122776649321672,0.34,0.59
ranking,scoreRanking,0.9120879120879121,0.08207038328418875,0.11,0.83
escape,approvalUtil,0.7472527472527473,0.08618676104621695,,0.68
escape,scoreUtil,0.8296703296703297,0,,0.755
escape,majorityJudgment,0.7967032967032966,0.0896118344111358,,0.725
escape,star,0.9945054945054945,0.16195814349306958,,0.905
meta,condorcet_existence,0.91,model=spatial2d,n=200,v=25
